32
1	保险理财规划	  2.0	68	1	0
2	创业基础	  1.0	84	1	0
3	大数据可视化	  2.0	77	1	0
4	大学生心理健康教育	  1.0	92.0	1	0
5	大学物理（上）	  3.0	64.0	0	0
6	大学英语Ⅰ	  2.0	72	0	0
7	大学英语Ⅱ	  2.0	67.0	0	0
8	钢琴音乐赏析	  1.5	82	1	0
9	高等数学（上）	  5.0	73	0	0
9	高等数学（下）●	  6.0	98.0	0	1
10	高等数学（下）	  6.0	70.0	0	0
11	会计学原理	  3.0	79	0	0
12	计算机程序设计	  3.0	90	0	0
13	军训	  1.0	80	1	0
14	思想道德修养和法律基础	  3.0	78.0	1	0
15	体育(1)	  1.0	65	1	0
16	体育(2)	  1.0	81.0	1	0
17	微观经济学原理	  3.0	74.0	0	0
18	线性代数	  3.0	72	0	0
19	中国近现代史纲要	  3.0	78	1	0
20	solidedge三维CAD	  2.0	74.0	1	0
21	大学物理实验（上）	  1.0	72.0	0	0
22	大学物理（下）	  4.0	76.0	0	0
23	大学英语Ⅲ	  2.0	70.0	0	0
24	宏观经济学原理（双学位）	  3.0	69.0	0	0
25	金融学	  3.0	91.0	0	0
26	军事理论	  1.0	94.0	1	0
27	离散数学	  4.0	93.0	0	0
28	毛泽东思想和中国特色社会主义理论体系概论(上)	  2.5	60.0	1	0
29	社会认识实践	  1.0	90.0	1	0
30	体育(3)	  1.0	78.0	1	0
31	中国文化导论	  1.0	64.0	1	0



